[0.58719082 0.33052637 1.        ],[1.30462898 5.76170606 0.1       ],"[1.305, 5.762, 0.1]",1.305,5.762,0.1,23.640892028808594,0.43454062938690186,2.9574621307596516
[0.58954389 0.3130133  1.        ],[1.30745267 5.25113269 0.1       ],"[1.307, 5.251, 0.1]",1.307,5.251,0.1,23.373573303222656,0.5055716037750244,2.4722793284018043
[0.59013849 0.32150699 1.        ],[1.30816619 5.49284361 0.1       ],"[1.308, 5.493, 0.1]",1.308,5.493,0.1,23.789966583251953,0.2982327938079834,3.020569693801012
[0.58744481 0.31828597 1.        ],[1.30493378 5.39989811 0.1       ],"[1.305, 5.4, 0.1]",1.305,5.4,0.1,23.024009704589844,0.7061634659767151,3.0049290449464516
[0.58957467 0.31856788 1.        ],[1.30748961 5.40796956 0.1       ],"[1.307, 5.408, 0.1]",1.307,5.408,0.1,22.927705764770508,0.6550787687301636,2.9434667346536423
[0.93167328 0.38460762 1.        ],[1.71800794 7.67350324 0.1       ],"[1.718, 7.674, 0.1]",1.718,7.674,0.1,13.174657821655273,4.853104591369629,2.907309761972785
[0.93466242 0.39311849 1.        ],[1.7215949  8.02744695 0.1       ],"[1.722, 8.027, 0.1]",1.722,8.027,0.1,13.236234664916992,4.86118745803833,2.8997669137239126
[0.96391517 0.60476333 0.74444444],[ 1.75669821 24.63647415  0.05551936],"[1.757, 24.636, 0.056]",1.757,24.636,0.056,15.621301651000977,4.464239597320557,2.769285341571118
[0.52295747 0.3546264  1.        ],[1.22754896 6.54645182 0.1       ],"[1.228, 6.546, 0.1]",1.228,6.546,0.1,22.837610244750977,1.6364951133728027,3.0115330604178823
[0.51473078 0.35826491 1.        ],[1.21767693 6.67387866 0.1       ],"[1.218, 6.674, 0.1]",1.218,6.674,0.1,22.915180206298828,1.6303218603134155,2.9221575114735763
[0.5148784  0.35670411 1.        ],[1.21785408 6.61891581 0.1       ],"[1.218, 6.619, 0.1]",1.218,6.619,0.1,22.85887908935547,1.5547065734863281,2.909049121087473
