Timestamp,Slide_Number,Position,Image_Path
2025-07-08_141217,1,A,contact_angle_experiment_2025-07-08_140853/slide1_posA_z-39.2.tiff
2025-07-08_141425,1,B,contact_angle_experiment_2025-07-08_140853/slide1_posB_z-39.2.tiff
2025-07-08_141643,1,C,contact_angle_experiment_2025-07-08_140853/slide1_posC_z-39.0.tiff
2025-07-08_141828,1,D,contact_angle_experiment_2025-07-08_140853/slide1_posD_z-39.0.tiff
2025-07-08_142455,2,A,contact_angle_experiment_2025-07-08_140853/slide2_posA_z-39.5.tiff
2025-07-08_143049,2,B,contact_angle_experiment_2025-07-08_140853/slide2_posB_z-40.0.tiff
2025-07-08_143257,2,C,contact_angle_experiment_2025-07-08_140853/slide2_posC_z-40.0.tiff
2025-07-08_143606,2,D,contact_angle_experiment_2025-07-08_140853/slide2_posD_z-40.0.tiff
2025-07-08_144900,3,A,contact_angle_experiment_2025-07-08_140853/slide3_posA_z-40.2.tiff
2025-07-08_145140,3,B,contact_angle_experiment_2025-07-08_140853/slide3_posB_z-39.2.tiff
2025-07-08_145325,3,C,contact_angle_experiment_2025-07-08_140853/slide3_posC_z-39.0.tiff
2025-07-08_145517,3,D,contact_angle_experiment_2025-07-08_140853/slide3_posD_z-39.0.tiff
