106&3&A1&&&complete&&{}&&{}
106&3&A2&&&complete&&{}&&{}
106&3&A3&&&complete&&{}&&{}
106&3&A4&&&complete&&{}&&{}
106&3&A5&&&complete&&{}&&{}
106&3&A6&&&complete&&{}&&{}
106&3&A7&&&complete&&{}&&{}
106&3&A8&&&complete&&{}&&{}
106&3&A9&&&complete&&{}&&{}
106&3&A10&&&complete&&{}&&{}
106&3&A11&&&complete&&{}&&{}
106&3&A12&&&complete&&{}&&{}
106&3&B1&&&complete&&{}&&{}
106&3&B2&&&complete&&{}&&{}
106&3&B3&&&complete&&{}&&{}
106&3&B4&&&complete&&{}&&{}
106&3&B5&&&complete&&{}&&{}
106&3&B6&&&complete&&{}&&{}
106&3&B7&&&complete&&{}&&{}
106&3&B8&&&complete&&{}&&{}
106&3&B9&&&complete&&{}&&{}
106&3&B10&&&complete&&{}&&{}
106&3&B11&&&complete&&{}&&{}
106&3&B12&&&complete&&{}&&{}
106&3&C1&&&complete&&{}&&{}
106&3&C2&&&complete&&{}&&{}
106&3&C3&&&complete&&{}&&{}
106&3&C4&&&complete&&{}&&{}
106&3&C5&&&complete&&{}&&{}
106&3&C6&&&complete&&{}&&{}
106&3&C7&&&complete&&{}&&{}
106&3&C8&&&complete&&{}&&{}
106&3&C9&&&complete&&{}&&{}
106&3&C10&&&complete&&{}&&{}
106&3&C11&&&complete&&{}&&{}
106&3&C12&&&complete&&{}&&{}
106&3&D1&10000370&13&error&2024-01-12T12:52:45&{'electrolyte': 120.0}&&{}
106&3&D2&10000370&13&error&2024-01-16T16:00:31&{'electrolyte': 120.0}&&{}
106&3&D3&10000371&13&complete&2024-01-17T16:39:53&{'electrolyte': 120.0}&&{}
106&3&D4&10000372&13&complete&2024-01-17T17:13:33&{'electrolyte': 120.0}&&{}
106&3&D5&10000373&13&complete&2024-01-17T17:26:03&{'electrolyte': 120.0}&&{}
106&3&D6&&&complete&2024-01-17T17:37:00&{'electrolyte': 120.0}&&{}
106&3&D7&10000374&13&error&2024-01-18T09:40:55&{}&&{}
106&3&D8&10000375&13&error&2024-01-18T09:57:21&{'5mm_fecn6': 127.43, 'electrolyte': 764.5800000000002}&&{}
106&3&D9&10000376&13&error&2024-01-18T09:40:55&{}&&{}
106&3&D10&10000377&13&complete&2024-01-18T17:00:26&{'5mm_fecn6': 127.43, 'electrolyte': 1274.3000000000004}&&{}
106&3&D11&10000378&13&running&2024-01-18T17:17:36&{'5mm_fecn6': 127.43, 'electrolyte': 637.1500000000001}&&{}
106&3&D12&&&new&2024-01-18T12:38:58&{}&&{}
106&3&E1&&&new&&{}&&{}
106&3&E2&&&new&&{}&&{}
106&3&E3&&&new&&{}&&{}
106&3&E4&&&new&&{}&&{}
106&3&E5&&&new&&{}&&{}
106&3&E6&&&new&&{}&&{}
106&3&E7&&&new&&{}&&{}
106&3&E8&&&new&&{}&&{}
106&3&E9&&&new&&{}&&{}
106&3&E10&&&new&&{}&&{}
106&3&E11&&&new&&{}&&{}
106&3&E12&&&new&&{}&&{}
106&3&F1&&&new&&{}&&{}
106&3&F2&&&new&&{}&&{}
106&3&F3&&&new&&{}&&{}
106&3&F4&&&new&&{}&&{}
106&3&F5&&&new&&{}&&{}
106&3&F6&&&new&&{}&&{}
106&3&F7&&&new&&{}&&{}
106&3&F8&&&new&&{}&&{}
106&3&F9&&&new&&{}&&{}
106&3&F10&&&new&&{}&&{}
106&3&F11&&&new&&{}&&{}
106&3&F12&&&new&&{}&&{}
106&3&G1&&&new&&{}&&{}
106&3&G2&&&new&&{}&&{}
106&3&G3&&&new&&{}&&{}
106&3&G4&&&new&&{}&&{}
106&3&G5&&&new&&{}&&{}
106&3&G6&&&new&&{}&&{}
106&3&G7&&&new&&{}&&{}
106&3&G8&&&new&&{}&&{}
106&3&G9&&&new&&{}&&{}
106&3&G10&&&new&&{}&&{}
106&3&G11&&&new&&{}&&{}
106&3&G12&&&new&&{}&&{}
106&3&H1&&&new&&{}&&{}
106&3&H2&&&new&&{}&&{}
106&3&H3&&&new&&{}&&{}
106&3&H4&&&new&&{}&&{}
106&3&H5&&&new&&{}&&{}
106&3&H6&&&new&&{}&&{}
106&3&H7&&&new&&{}&&{}
106&3&H8&&&new&&{}&&{}
106&3&H9&&&new&&{}&&{}
106&3&H10&&&new&&{}&&{}
106&3&H11&&&new&&{}&&{}
106&3&H12&&&new&&{}&&{}
108&3&A1&10000455&12&complete&2024-02-06T17:31:32&{'5mm_fecn6': 127.43}&&{}
108&3&A2&10000456&12&complete&2024-02-06T17:38:34&{'5mm_fecn6': 127.43}&&{}
108&3&A3&10000413&15&complete&2024-01-31T20:13:10&{'5mm_fecn6': 0.0}&&{}
108&3&A4&10000414&15&complete&2024-01-31T20:23:42&{'5mm_fecn6': 0.0}&&{}
108&3&A5&10000415&15&complete&2024-01-31T20:34:12&{'5mm_fecn6': 0.0}&&{}
108&3&A6&10000416&15&complete&2024-01-31T20:45:54&{'10mm_fecn6': 0.0, 'electrolyte': 0.0}&&{}
